subjectID,ACR,ACR-L,ACR-R,ALIC,ALIC-L,ALIC-R,AverageFA,BCC,CC,CGC,CGC-L,CGC-R,CGH,CGH-L,CGH-R,CR,CR-L,CR-R,CST,CST-L,CST-R,EC,EC-L,EC-R,FX,FX/ST-L,FX/ST-R,FXST,GCC,IC,IC-L,IC-R,IFO,IFO-L,IFO-R,PCR,PCR-L,PCR-R,PLIC,PLIC-L,PLIC-R,PTR,PTR-L,PTR-R,RLIC,RLIC-L,RLIC-R,SCC,SCR,SCR-L,SCR-R,SFO,SFO-L,SFO-R,SLF,SLF-L,SLF-R,SS,SS-L,SS-R,UNC,UNC-L,UNC-R
sub-FREAD001,0.00115683,0.00113099,0.00118282,0.00122579,0.00120906,0.001241,0.00110253,0.0014628,0.00148407,0.00120955,0.00123855,0.00117852,0.00114668,0.00115951,0.00113375,0.00117857,0.00116287,0.00119374,0.00112307,0.00112756,0.00111826,0.00109505,0.00108502,0.00110503,0.00171761,0.00114158,0.00112681,0.00113509,0.00154137,0.00126383,0.00126876,0.00125916,0.00123281,0.00126602,0.00120513,0.00124954,0.00124132,0.00125686,0.00130025,0.001308,0.00129257,0.0013413,0.00134242,0.00134022,0.00125903,0.00128017,0.0012391,0.00146779,0.00116635,0.0011606,0.00117188,0.00117002,0.00117082,0.00116925,0.00115521,0.00115705,0.0011534,0.00127523,0.0012683,0.00128218,0.00175917,0.00181402,0.00172137
sub-FREAD002,0.00119131,0.00118981,0.00119282,0.00118912,0.00120598,0.00117379,0.00111018,0.0014694,0.00145698,0.00123215,0.00127111,0.00119048,0.00118634,0.00115841,0.00121449,0.00121942,0.00121269,0.00122592,0.00105568,0.00106337,0.00104745,0.00114255,0.00114978,0.00113535,0.00189028,0.00113599,0.00108665,0.00111433,0.00140149,0.00124787,0.00125148,0.00124444,0.00123996,0.00122299,0.0012541,0.00125925,0.00124497,0.00127197,0.00128066,0.00127292,0.00128832,0.00134149,0.00131052,0.0013715,0.00126825,0.00127045,0.00126618,0.00148397,0.00123048,0.001223,0.00123768,0.00119486,0.00118057,0.00120871,0.00114938,0.00113829,0.00116024,0.0012605,0.00125401,0.00126702,0.00147098,0.00146727,0.00147353
sub-FREAD003,0.00108325,0.0010948,0.00107163,0.00114441,0.00114739,0.00114171,0.00112873,0.00142492,0.00146047,0.00106342,0.00109967,0.00102464,0.00114584,0.00111132,0.00118063,0.00112315,0.00113118,0.0011154,0.00113838,0.00114727,0.00112885,0.00106376,0.00106742,0.00106012,0.00189987,0.00115864,0.00115891,0.00115876,0.00142079,0.00125092,0.00125989,0.00124242,0.00105203,0.00107739,0.00103089,0.00120709,0.00120304,0.00121069,0.00129246,0.00129569,0.00128927,0.00140834,0.00143072,0.00138665,0.00130914,0.00132775,0.0012916,0.00154078,0.00112468,0.00113736,0.00111248,0.00109885,0.0010826,0.00111461,0.00108737,0.00109018,0.00108462,0.00130807,0.00130437,0.00131179,0.00149368,0.00145401,0.00152102
sub-FREAD004,0.00107012,0.00102185,0.00111867,0.00104812,0.00103304,0.00106183,0.00094176,0.00123241,0.001209,0.00119047,0.00118408,0.0011973,0.000518318,0.000555223,0.00048113,0.00109863,0.00107095,0.00112537,0.000897077,0.000946304,0.000844357,0.00104477,0.00104636,0.00104318,0.000716512,0.000883514,0.000886284,0.00088473,0.00114865,0.00110883,0.00110948,0.00110821,0.00119344,0.00123934,0.00115519,0.00118125,0.00116998,0.00119129,0.0012061,0.00122338,0.00118899,0.00114009,0.00108663,0.00119191,0.0010547,0.00104666,0.00106229,0.00122474,0.00108802,0.0010783,0.00109736,0.00102995,0.000963449,0.00109442,0.00112956,0.00112551,0.00113352,0.00101206,0.000957924,0.00106627,0.00117309,0.00121592,0.00114358
sub-FREAD006,0.00108599,0.00110166,0.00107023,0.00100977,0.00104162,0.000980813,0.000913891,0.0011942,0.0012166,0.00103698,0.00102302,0.00105191,0.000557861,0.000523881,0.000592101,0.00109248,0.00110807,0.00107742,0.00091609,0.00090902,0.000923662,0.000884274,0.000957179,0.000811671,0.000716891,0.000889329,0.000655102,0.000786481,0.00123746,0.00106563,0.00112215,0.00101199,0.00105337,0.00107864,0.00103232,0.00113377,0.00113683,0.00113105,0.00116439,0.00121155,0.0011177,0.00121523,0.00121123,0.0012191,0.00100484,0.00109317,0.000921554,0.00123079,0.00107843,0.00110117,0.00105655,0.00115562,0.00119049,0.00112181,0.000977495,0.000989555,0.000965688,0.00100398,0.00106677,0.000941001,0.0013978,0.0014351,0.00137209
sub-FREAD007,0.00115066,0.00114084,0.00116053,0.00118438,0.00118124,0.00118724,0.00106388,0.00137076,0.00136413,0.00113881,0.00115826,0.00111801,0.000772538,0.000823351,0.000721335,0.00117617,0.00116915,0.00118294,0.000853325,0.000826871,0.000881656,0.00114235,0.00114919,0.00113553,0.00112148,0.00111453,0.00103615,0.00108011,0.00135475,0.0012333,0.00123473,0.00123195,0.0012001,0.00119341,0.00120568,0.0012336,0.00120315,0.00126072,0.00125803,0.00124921,0.00126677,0.00131863,0.00128238,0.00135376,0.00125333,0.00127008,0.00123754,0.00136246,0.00117519,0.00118486,0.00116589,0.00119469,0.0011806,0.00120835,0.00116471,0.00114213,0.00118681,0.00113429,0.00105314,0.0012157,0.00147813,0.0014516,0.00149641
sub-FREAD008,0.00108147,0.00109977,0.00106306,0.00111177,0.00112719,0.00109776,0.000939859,0.00127806,0.00127688,0.00117238,0.00115372,0.00119234,0.000785093,0.000804611,0.000765425,0.00111676,0.00111496,0.00111849,0.000983716,0.000956121,0.00101327,0.00091354,0.000914699,0.000912385,0.000900313,0.000857298,0.000815863,0.000839104,0.00120222,0.001157,0.00116364,0.00115071,0.00102951,0.000919071,0.00112155,0.0011682,0.00112048,0.0012107,0.00118563,0.00117842,0.00119277,0.00125745,0.00123608,0.00127816,0.00116869,0.00118176,0.00115637,0.0013345,0.0011299,0.00112972,0.00113007,0.00110206,0.00112161,0.00108311,0.00110895,0.00107504,0.00114215,0.00119232,0.001128,0.00125683,0.0013597,0.00126997,0.00142154
sub-FREAD009,0.00107953,0.00106023,0.00109894,0.00114507,0.00112604,0.00116236,0.00097993,0.00138511,0.0013902,0.00117313,0.00119146,0.00115353,0.000880186,0.000891098,0.00086919,0.00109803,0.00111019,0.00108628,0.000982455,0.000984507,0.000980258,0.00106352,0.00106091,0.00106612,0.00111957,0.000997642,0.00100406,0.00100046,0.00137271,0.00116751,0.00117217,0.00116309,0.00118151,0.00117374,0.00118798,0.00112258,0.00118102,0.00107052,0.00120773,0.00119887,0.0012165,0.00123365,0.00128122,0.00118755,0.00114245,0.00118539,0.00110197,0.00141106,0.00110616,0.00113254,0.00108078,0.00110957,0.00112458,0.00109502,0.00108312,0.00108502,0.00108126,0.00118213,0.00115697,0.00120736,0.00124775,0.00128152,0.00122448
sub-FREAD010,0.00116273,0.00117637,0.00114901,0.00101873,0.000980394,0.00105357,0.000933106,0.00125616,0.00128353,0.00112836,0.00118955,0.00106291,0.000491425,0.000419891,0.000563508,0.00116418,0.00117418,0.00115452,0.000887813,0.000923009,0.00085012,0.000967467,0.000979946,0.000955039,0.000694043,0.000882282,0.000700636,0.000802522,0.00131526,0.00110835,0.00110385,0.00111262,0.00110505,0.00112602,0.00108758,0.00123749,0.00124627,0.00122966,0.00116588,0.00116248,0.00116924,0.00114641,0.00110341,0.00118808,0.00113055,0.0011548,0.00110769,0.00129593,0.00112788,0.00113582,0.00112025,0.000960484,0.000990614,0.000931276,0.00114021,0.00113677,0.00114357,0.00105373,0.00102218,0.00108537,0.00138797,0.00140472,0.00137643
sub-FREHC001,0.00104592,0.00104435,0.0010475,0.00104256,0.0010334,0.00105088,0.000988442,0.00137955,0.00133202,0.0012329,0.00126488,0.00119869,0.00087488,0.000853694,0.000896229,0.00105995,0.00106201,0.00105796,0.000984577,0.000989889,0.000978889,0.00100056,0.000980441,0.0010206,0.00106638,0.00102661,0.000982689,0.00100732,0.00126445,0.00110266,0.0011091,0.00109655,0.00112615,0.00118257,0.00107914,0.00112249,0.00111865,0.00112591,0.0011714,0.00116591,0.00117684,0.0011923,0.00119222,0.00119237,0.00108177,0.00111496,0.00105047,0.00132038,0.0010434,0.00105421,0.00103301,0.00109764,0.00109447,0.00110071,0.00105899,0.00103547,0.00108201,0.00113646,0.00110164,0.00117138,0.00132963,0.0013269,0.00133151
