subjectID,ACR,ACR-L,ACR-R,ALIC,ALIC-L,ALIC-R,AverageFA,BCC,CC,CGC,CGC-L,CGC-R,CGH,CGH-L,CGH-R,CR,CR-L,CR-R,CST,CST-L,CST-R,EC,EC-L,EC-R,FX,FX/ST-L,FX/ST-R,FXST,GCC,IC,IC-L,IC-R,IFO,IFO-L,IFO-R,PCR,PCR-L,PCR-R,PLIC,PLIC-L,PLIC-R,PTR,PTR-L,PTR-R,RLIC,RLIC-L,RLIC-R,SCC,SCR,SCR-L,SCR-R,SFO,SFO-L,SFO-R,SLF,SLF-L,SLF-R,SS,SS-L,SS-R,UNC,UNC-L,UNC-R
sub-FREAD001,0.47632,0.459482,0.49144,0.626548,0.633397,0.619978,0.499714,0.728865,0.715249,0.604589,0.633391,0.574512,0.476422,0.466309,0.486974,0.514741,0.505957,0.522789,0.599698,0.602842,0.596248,0.490498,0.494914,0.486085,0.390489,0.567112,0.565957,0.566583,0.614784,0.651395,0.659205,0.6434,0.58098,0.587112,0.574603,0.563276,0.544617,0.577634,0.706424,0.711965,0.700402,0.608517,0.590914,0.623248,0.621747,0.630622,0.612557,0.774236,0.543814,0.548207,0.539371,0.619853,0.637643,0.606914,0.541716,0.536017,0.547722,0.529838,0.52961,0.530055,0.564036,0.531152,0.583879
sub-FREAD002,0.507147,0.499332,0.514165,0.624864,0.633027,0.617032,0.496872,0.6968,0.698885,0.652509,0.691971,0.6113,0.539223,0.529827,0.549027,0.55982,0.557913,0.561567,0.579337,0.61515,0.540035,0.523754,0.530264,0.517249,0.311031,0.568527,0.543369,0.556996,0.614376,0.657297,0.661089,0.653415,0.611733,0.626783,0.596082,0.609583,0.611676,0.607973,0.726554,0.727064,0.726,0.603219,0.594301,0.610682,0.621318,0.62069,0.621969,0.770143,0.606722,0.60934,0.604075,0.655425,0.673284,0.642437,0.547535,0.532915,0.562941,0.55057,0.550774,0.550375,0.564761,0.573339,0.559584
sub-FREAD003,0.421423,0.419469,0.423177,0.559788,0.555893,0.563524,0.439607,0.462629,0.545786,0.455476,0.492684,0.416622,0.392704,0.416255,0.36813,0.477033,0.476934,0.477123,0.572624,0.605128,0.536953,0.440309,0.436058,0.444556,0.416484,0.438894,0.457006,0.447195,0.533173,0.612632,0.60897,0.61638,0.439693,0.415308,0.465053,0.525327,0.506621,0.539721,0.69701,0.689777,0.704871,0.54728,0.52509,0.56585,0.58412,0.580185,0.588194,0.688842,0.528334,0.535753,0.52083,0.610667,0.591969,0.624265,0.458998,0.458225,0.459813,0.49348,0.489589,0.497181,0.533744,0.500425,0.553851
sub-FREAD004,0.51131,0.535848,0.489276,0.619322,0.621522,0.617212,0.537542,0.717571,0.721559,0.630177,0.632708,0.627534,0.596169,0.555503,0.638604,0.527099,0.536961,0.518062,0.519135,0.528993,0.508317,0.490445,0.491684,0.489207,0.633507,0.563248,0.543899,0.55438,0.710994,0.626791,0.633452,0.619971,0.599713,0.608115,0.590974,0.59539,0.586856,0.601956,0.668474,0.678408,0.657677,0.597073,0.614812,0.582229,0.591284,0.597968,0.584364,0.736424,0.518742,0.520187,0.517281,0.589289,0.619813,0.567089,0.53441,0.537975,0.530653,0.557893,0.553699,0.561884,0.686816,0.668732,0.697729
sub-FREAD006,0.462837,0.449466,0.474844,0.601104,0.601554,0.600673,0.498729,0.620426,0.642199,0.560672,0.570575,0.55033,0.639786,0.656936,0.621891,0.485738,0.479433,0.491516,0.574335,0.55991,0.590165,0.506833,0.510768,0.502902,0.747323,0.628624,0.61626,0.622957,0.607063,0.621489,0.62698,0.615867,0.577443,0.596839,0.557271,0.527927,0.517907,0.535638,0.668838,0.686524,0.649616,0.538573,0.538099,0.538969,0.594836,0.590631,0.59919,0.705242,0.497499,0.501754,0.493196,0.650452,0.635823,0.661092,0.501954,0.513789,0.489482,0.570036,0.546575,0.592356,0.514236,0.44467,0.556216
sub-FREAD007,0.413162,0.418137,0.408695,0.584088,0.576574,0.591296,0.456991,0.621646,0.628921,0.514222,0.525751,0.502183,0.475496,0.487103,0.463384,0.448079,0.459226,0.437864,0.507727,0.533037,0.47995,0.44273,0.457589,0.427883,0.458097,0.563641,0.553223,0.558866,0.580478,0.592091,0.591108,0.593098,0.508844,0.511702,0.505871,0.508984,0.508049,0.509704,0.633022,0.628911,0.637489,0.505366,0.519278,0.493723,0.557997,0.566251,0.54945,0.679486,0.467446,0.491261,0.443361,0.556545,0.552677,0.559358,0.464246,0.462862,0.465705,0.497304,0.514469,0.480974,0.545367,0.541407,0.547756
sub-FREAD008,0.488515,0.476462,0.499338,0.638974,0.635204,0.642591,0.518345,0.684311,0.705385,0.608781,0.6164,0.600824,0.551007,0.562572,0.53894,0.495999,0.495718,0.496257,0.558629,0.575641,0.539959,0.549933,0.562007,0.53787,0.514426,0.600438,0.536947,0.571338,0.682854,0.62702,0.625603,0.62847,0.567747,0.588218,0.546458,0.519558,0.536259,0.506706,0.657178,0.657301,0.657044,0.563345,0.536137,0.586115,0.58138,0.580657,0.582129,0.757181,0.49574,0.504316,0.487067,0.581859,0.605717,0.564507,0.544313,0.538703,0.550224,0.516085,0.499411,0.531949,0.622075,0.624925,0.620355
sub-FREAD009,0.408204,0.404784,0.411275,0.548034,0.531108,0.564273,0.481107,0.67979,0.669556,0.562077,0.556375,0.568032,0.476498,0.499977,0.451998,0.461031,0.462766,0.459441,0.544883,0.529633,0.561618,0.431362,0.425407,0.437312,0.447439,0.500638,0.538472,0.517979,0.582877,0.579377,0.574169,0.584709,0.547308,0.544773,0.549944,0.535988,0.546149,0.528169,0.633358,0.628127,0.639043,0.600899,0.596827,0.604307,0.558304,0.563376,0.553053,0.722867,0.497552,0.502709,0.492336,0.544609,0.576017,0.521767,0.490003,0.474208,0.506647,0.54989,0.535023,0.564034,0.646983,0.644463,0.648503
sub-FREAD010,0.429843,0.434002,0.426109,0.608323,0.588459,0.627379,0.528183,0.691271,0.682892,0.562066,0.57644,0.547056,0.661136,0.748536,0.569935,0.465374,0.470768,0.460431,0.523844,0.531757,0.51516,0.482115,0.491139,0.473098,0.609872,0.494816,0.635482,0.559288,0.637889,0.630874,0.625692,0.636179,0.538662,0.583706,0.491817,0.51416,0.510995,0.516596,0.672066,0.673994,0.669971,0.55587,0.575855,0.539145,0.613223,0.614577,0.611822,0.705672,0.490621,0.500688,0.48044,0.62245,0.609483,0.63188,0.535861,0.521221,0.551289,0.56246,0.550885,0.573472,0.566334,0.528668,0.589064
sub-FREHC001,0.490209,0.482477,0.497153,0.64039,0.65041,0.630777,0.544229,0.780657,0.766531,0.693798,0.719219,0.667253,0.574668,0.538925,0.611964,0.507134,0.502824,0.511083,0.585662,0.576143,0.596108,0.540836,0.549267,0.532412,0.720916,0.620365,0.59409,0.608322,0.726744,0.642292,0.650034,0.634367,0.601122,0.67259,0.526795,0.564331,0.560485,0.56729,0.690073,0.693363,0.686497,0.640348,0.634884,0.64492,0.593939,0.602697,0.584871,0.775933,0.504899,0.506525,0.503254,0.712102,0.717615,0.708093,0.563481,0.547465,0.580359,0.590097,0.589569,0.5906,0.671863,0.667878,0.674268
