subjectID,ACR,ACR-L,ACR-R,ALIC,ALIC-L,ALIC-R,AverageFA,BCC,CC,CGC,CGC-L,CGC-R,CGH,CGH-L,CGH-R,CR,CR-L,CR-R,CST,CST-L,CST-R,EC,EC-L,EC-R,FX,FX/ST-L,FX/ST-R,FXST,GCC,IC,IC-L,IC-R,IFO,IFO-L,IFO-R,PCR,PCR-L,PCR-R,PLIC,PLIC-L,PLIC-R,PTR,PTR-L,PTR-R,RLIC,RLIC-L,RLIC-R,SCC,SCR,SCR-L,SCR-R,SFO,SFO-L,SFO-R,SLF,SLF-L,SLF-R,SS,SS-L,SS-R,UNC,UNC-L,UNC-R
sub-FREAD001,0.000765707,0.000760187,0.000771258,0.000664976,0.000652037,0.000676737,0.000724071,0.00072501,0.000744621,0.000679933,0.000677066,0.000682999,0.000729104,0.000745985,0.000712093,0.000740758,0.000736769,0.00074461,0.000653912,0.000655912,0.00065177,0.000698727,0.000685835,0.000711565,0.00126973,0.000688603,0.00067932,0.000684527,0.000845718,0.000670488,0.000666755,0.000674031,0.000735255,0.000750197,0.000722804,0.000764711,0.000763038,0.000766202,0.000653337,0.000652503,0.000654163,0.000760683,0.000769768,0.000751877,0.000696402,0.000698665,0.000694268,0.000691317,0.000700267,0.000696735,0.000703664,0.000671689,0.000671669,0.000671708,0.00070108,0.000705239,0.000697007,0.000772645,0.000765093,0.000780221,0.00104117,0.00109454,0.00100439
sub-FREAD002,0.000745723,0.000747504,0.000743931,0.000652357,0.000653268,0.000651528,0.000727983,0.000748967,0.0007372,0.000671395,0.000670962,0.000671858,0.000707813,0.000698648,0.000717049,0.000720423,0.00071732,0.00072342,0.000622259,0.000612223,0.000633008,0.000707913,0.000708433,0.000707395,0.00159547,0.000685225,0.00067275,0.000679747,0.000767058,0.000659115,0.000657749,0.000660411,0.000712187,0.000689239,0.00073131,0.000727797,0.000712874,0.00074109,0.000630348,0.000626266,0.000634388,0.000764427,0.000756177,0.000772424,0.000700068,0.000700477,0.000699683,0.000697349,0.000688113,0.000684758,0.00069134,0.000657861,0.000653945,0.000661658,0.000692903,0.000695165,0.000690688,0.000751213,0.000744305,0.000758143,0.000865265,0.000845097,0.000879165
sub-FREAD003,0.000747611,0.000763076,0.000732057,0.000664357,0.00066643,0.000662472,0.000772752,0.00094716,0.000874888,0.000708958,0.000716183,0.000701229,0.000786872,0.000746295,0.00082776,0.000725086,0.000734404,0.000716088,0.00068302,0.000662552,0.000704941,0.000714354,0.000717126,0.000711594,0.00135299,0.000757775,0.000738994,0.000749528,0.000841658,0.00068509,0.00069223,0.000678314,0.000728908,0.000756828,0.000705641,0.000773156,0.000778184,0.000768677,0.000655682,0.000661589,0.000649835,0.000839998,0.000867311,0.000813524,0.000740909,0.000755048,0.000727578,0.000802029,0.00067485,0.000679612,0.000670269,0.000659218,0.000659882,0.000658574,0.000711993,0.000717511,0.000706591,0.000815441,0.00081418,0.000816706,0.000933052,0.000979376,0.000901126
sub-FREAD004,0.000689429,0.000648276,0.000730819,0.000579193,0.000568702,0.00058873,0.000596352,0.0006232,0.000603312,0.00064401,0.000638134,0.000650275,0.000320044,0.00034633,0.000293557,0.000683985,0.000662576,0.000704678,0.000562891,0.000588635,0.00053532,0.000661376,0.000661282,0.00066147,0.000458539,0.000535204,0.000546839,0.000540327,0.000572972,0.000605697,0.000600419,0.000610707,0.000687492,0.000697916,0.000678805,0.000711122,0.000706683,0.000715081,0.000631267,0.000633476,0.000629081,0.000643884,0.000611732,0.00067508,0.000602111,0.000591623,0.000611999,0.000600123,0.000663832,0.000657158,0.00067026,0.000629442,0.000605238,0.000652905,0.000682016,0.000678806,0.000685165,0.000627976,0.000609327,0.000646481,0.000607965,0.000659404,0.000572514
sub-FREAD006,0.000727467,0.00074384,0.000710999,0.000565652,0.000581177,0.00055154,0.000595653,0.000682686,0.000671659,0.000626061,0.00061524,0.000637636,0.000327078,0.000308886,0.000345409,0.000704789,0.000716488,0.000693491,0.000535952,0.000537649,0.000534134,0.000565037,0.000603105,0.000527127,0.000415766,0.000520309,0.000394381,0.000465015,0.000696928,0.00058827,0.000610857,0.000566808,0.000629931,0.000637256,0.000623826,0.000716856,0.000720249,0.000713834,0.000610942,0.000623714,0.000598284,0.000737414,0.000734519,0.00074022,0.00058421,0.000624614,0.000546016,0.000636465,0.000673005,0.00068311,0.000663285,0.000666722,0.000686502,0.000647548,0.000620715,0.000622511,0.000618956,0.000605339,0.000651013,0.000559452,0.000892041,0.000954673,0.000848875
sub-FREAD007,0.000815323,0.00080597,0.00082473,0.000677895,0.000677208,0.00067852,0.000713485,0.000765351,0.000750843,0.000698456,0.000709477,0.000686667,0.000510284,0.000541085,0.000479246,0.000788774,0.00077904,0.000798175,0.000538856,0.000513559,0.000565949,0.00075836,0.000751047,0.000765642,0.000834973,0.000671679,0.000646247,0.000660512,0.000775371,0.000698746,0.000698024,0.000699431,0.000751939,0.000738989,0.00076273,0.000789128,0.00076962,0.000806505,0.00068302,0.000679417,0.000686586,0.000810117,0.000777866,0.000841377,0.000738451,0.000741271,0.000735793,0.000711458,0.000758688,0.000752699,0.000764448,0.00073642,0.000735223,0.000737581,0.000755525,0.000744884,0.000765943,0.000710293,0.000652686,0.000768078,0.000881687,0.000864669,0.000893416
sub-FREAD008,0.000709149,0.000730831,0.000687341,0.000607773,0.000619692,0.000596939,0.000598344,0.000670374,0.000649174,0.000653328,0.000639562,0.000668053,0.000483319,0.000487475,0.000479131,0.000712517,0.000714833,0.000710281,0.000582694,0.000562885,0.000603909,0.000555737,0.000550555,0.000560901,0.000635302,0.000516384,0.000512711,0.000514771,0.000622351,0.000633391,0.000638106,0.000628917,0.000625863,0.000561405,0.000679578,0.000735918,0.000701881,0.000766238,0.000625741,0.000621182,0.000630253,0.000733277,0.000723718,0.000742543,0.000668326,0.000676926,0.000660218,0.000641382,0.000704207,0.000702842,0.00070552,0.000677222,0.00069134,0.000663537,0.000663738,0.000648902,0.000678264,0.000725421,0.000695378,0.000755557,0.000794517,0.000723998,0.000843118
sub-FREAD009,0.000750113,0.000735346,0.000764965,0.000680581,0.000683504,0.000677925,0.000644567,0.000723809,0.000729178,0.000700918,0.000710588,0.000690574,0.000563145,0.000551738,0.00057464,0.000723228,0.000724525,0.000721975,0.000597854,0.00060155,0.000593895,0.000708132,0.000708208,0.000708057,0.000790203,0.000638061,0.000618831,0.000629617,0.000770111,0.000668518,0.000675151,0.000662223,0.000713528,0.000710123,0.000716365,0.000707542,0.000722241,0.000694431,0.00065405,0.000653921,0.000654178,0.000708962,0.000734767,0.00068395,0.000673508,0.000692698,0.000655414,0.000704067,0.000701056,0.000713196,0.000689378,0.000744663,0.000771584,0.000718567,0.000682988,0.000691073,0.000675073,0.000706326,0.000702882,0.00070978,0.000770296,0.000742816,0.000789235
sub-FREAD010,0.000800061,0.00081089,0.00078917,0.000567729,0.000559428,0.000575275,0.000595116,0.000662187,0.00067815,0.000651337,0.000686414,0.000613816,0.000291831,0.000226224,0.00035794,0.000758234,0.000764827,0.000751866,0.000545161,0.000557765,0.000531663,0.000612196,0.000615903,0.000608509,0.000476271,0.000557323,0.000426915,0.000500165,0.00072308,0.000602091,0.000601822,0.000602345,0.000678413,0.00065755,0.000695798,0.000780911,0.000785074,0.000777203,0.000606752,0.000601721,0.000611733,0.000688667,0.000663648,0.000712917,0.000631262,0.000643989,0.000619279,0.000664392,0.00069939,0.0007017,0.000697169,0.000562058,0.000591713,0.000533311,0.000688318,0.000694644,0.000682125,0.000632036,0.000615885,0.000648262,0.00084086,0.000896315,0.000802641
sub-FREHC001,0.000669286,0.00067339,0.000665161,0.00056103,0.000554716,0.000566761,0.000607206,0.000635879,0.000618757,0.00063303,0.00063051,0.000635726,0.000506612,0.000520863,0.000492251,0.00065418,0.000655798,0.000652617,0.000584131,0.000592028,0.0005757,0.000603424,0.000585156,0.000621641,0.000573592,0.000578099,0.000571434,0.000575172,0.000603521,0.000591175,0.00059286,0.000589573,0.000645083,0.00063505,0.000653444,0.000667383,0.000660367,0.000673633,0.000601405,0.00059762,0.000605151,0.000636651,0.000644325,0.000629161,0.000609531,0.000624793,0.00059501,0.000607355,0.000630351,0.000633287,0.000627527,0.000597072,0.000598913,0.000595287,0.000627747,0.000626672,0.000628799,0.000645505,0.000632435,0.000658615,0.000711392,0.00071244,0.00071067
