subjectID,ACR,ACR-L,ACR-R,ALIC,ALIC-L,ALIC-R,AverageFA,BCC,CC,CGC,CGC-L,CGC-R,CGH,CGH-L,CGH-R,CR,CR-L,CR-R,CST,CST-L,CST-R,EC,EC-L,EC-R,FX,FX/ST-L,FX/ST-R,FXST,GCC,IC,IC-L,IC-R,IFO,IFO-L,IFO-R,PCR,PCR-L,PCR-R,PLIC,PLIC-L,PLIC-R,PTR,PTR-L,PTR-R,RLIC,RLIC-L,RLIC-R,SCC,SCR,SCR-L,SCR-R,SFO,SFO-L,SFO-R,SLF,SLF-L,SLF-R,SS,SS-L,SS-R,UNC,UNC-L,UNC-R
sub-FREAD001,0.000570143,0.000574784,0.000565476,0.000384568,0.000373523,0.000394607,0.000534856,0.000356407,0.00037503,0.000415127,0.000396326,0.000435239,0.000520315,0.000539223,0.000501262,0.000521851,0.000523719,0.000520048,0.000419334,0.000420089,0.000418526,0.000500568,0.000486241,0.000514835,0.00104579,0.000462114,0.000455576,0.000459243,0.000497893,0.000373816,0.00036575,0.000381471,0.000486478,0.000492283,0.000481641,0.000522298,0.000523897,0.000520874,0.000329884,0.000324755,0.000334962,0.000470372,0.00048344,0.000457706,0.000415088,0.000407911,0.000421855,0.000303079,0.000467227,0.000464804,0.000469557,0.000422522,0.000422095,0.000422936,0.000474015,0.000479331,0.000468811,0.000521355,0.000513493,0.000529242,0.000682175,0.000734803,0.000645905
sub-FREAD002,0.000522927,0.000526351,0.000519483,0.000383976,0.000376911,0.000390398,0.000536885,0.000388751,0.000377311,0.000391018,0.000370888,0.000412551,0.00046855,0.00046877,0.000468329,0.000470924,0.000469636,0.000472167,0.000405549,0.00038665,0.000425789,0.000490595,0.00048776,0.000493418,0.00144806,0.000459841,0.0004658,0.000462458,0.000449845,0.000364739,0.000360885,0.000368397,0.0004483,0.000422362,0.000469915,0.00046207,0.000446826,0.00047565,0.000305191,0.000302939,0.00030742,0.0004759,0.000479009,0.000472886,0.000415975,0.00041549,0.000416433,0.00030404,0.000416929,0.000415639,0.00041817,0.000389362,0.000390631,0.000388132,0.000464664,0.000473601,0.000455913,0.000496566,0.000489449,0.000503706,0.000562408,0.00053401,0.00058198
sub-FREAD003,0.000579792,0.000597212,0.000562271,0.000424326,0.000425948,0.000422851,0.000594761,0.000708281,0.000582096,0.000531728,0.00052444,0.000539525,0.000607387,0.000563782,0.000651326,0.000526054,0.000536016,0.000516433,0.000455343,0.000420194,0.000492987,0.000539651,0.000541979,0.000537332,0.00107956,0.000557344,0.000529036,0.000544914,0.000552092,0.000402173,0.000408402,0.000396261,0.000567349,0.000596547,0.000543018,0.000556191,0.000565755,0.000547672,0.000337293,0.00034454,0.000330119,0.000555827,0.000585609,0.00052696,0.000456792,0.000468697,0.000445568,0.000432654,0.000449936,0.000450737,0.000449166,0.0004394,0.000448524,0.000430556,0.000524304,0.000531178,0.000517574,0.000569125,0.000569086,0.000569164,0.000652737,0.000742058,0.000591178
sub-FREAD004,0.000502275,0.000467454,0.000536896,0.000345721,0.000336535,0.000354113,0.000427544,0.000326249,0.000309723,0.000371351,0.000366244,0.00037676,0.000227589,0.000256517,0.00019977,0.00047956,0.000463194,0.00049527,0.000396441,0.000409801,0.000382086,0.000469733,0.000468495,0.00047096,0.000358105,0.000364991,0.000379715,0.000371507,0.000299776,0.000355835,0.00034802,0.000363239,0.000434519,0.000427204,0.000440614,0.000483526,0.000485952,0.000481384,0.000343852,0.000338523,0.000349127,0.000404536,0.000385365,0.000422992,0.000380499,0.000371329,0.000389047,0.000294881,0.000452047,0.000447259,0.000456658,0.000429186,0.000426132,0.000432146,0.000458528,0.000456018,0.000460992,0.000439822,0.000443166,0.000436587,0.000328259,0.000381146,0.00029131
sub-FREAD006,0.000548204,0.000564931,0.000531381,0.000343594,0.000350956,0.000336903,0.000437737,0.000427966,0.000399933,0.000421355,0.000412779,0.000430498,0.000214606,0.000207004,0.000222063,0.000511019,0.000520695,0.000501671,0.000345882,0.000351964,0.000339369,0.000406019,0.000426068,0.000385997,0.000293018,0.000339727,0.000264878,0.000306734,0.000426916,0.000351163,0.000356649,0.000345939,0.00041821,0.000416565,0.00041958,0.000508775,0.000511958,0.000505935,0.000334935,0.000329797,0.000340056,0.000499097,0.000496164,0.000501946,0.000378374,0.000395427,0.000362244,0.000340022,0.000470295,0.00047408,0.000466655,0.000422276,0.000434509,0.000410417,0.000442324,0.000438989,0.000445589,0.000407485,0.000443136,0.000371389,0.000639163,0.00071446,0.000587269
sub-FREAD007,0.000647658,0.000638535,0.000656833,0.000424649,0.00042519,0.000424158,0.000538387,0.000462645,0.000444263,0.000478281,0.000485089,0.000470998,0.000379156,0.000399952,0.000358201,0.000595079,0.000583986,0.000605793,0.000381622,0.000356903,0.000408096,0.000566365,0.000551974,0.000580696,0.000694885,0.000450255,0.000451295,0.000450712,0.000485681,0.000431468,0.000429673,0.000433172,0.000527858,0.000511781,0.000541255,0.000566895,0.000552856,0.0005794,0.000395514,0.00039452,0.000396497,0.000555863,0.00052561,0.000585187,0.00048101,0.000476867,0.000484917,0.000386129,0.000550437,0.00053662,0.000563728,0.000507287,0.000512536,0.000502198,0.000550934,0.000546259,0.000555511,0.000499535,0.000454736,0.000544265,0.000583466,0.000571202,0.000591918
sub-FREAD008,0.000523703,0.000547485,0.000499815,0.000356263,0.000367004,0.000346527,0.000429053,0.000368042,0.000338071,0.000394495,0.000383789,0.00040591,0.000332431,0.000328906,0.000335984,0.000510695,0.000515231,0.000506317,0.000382182,0.000366267,0.000399227,0.000378386,0.000368749,0.000388056,0.000502796,0.000348652,0.000364938,0.000355795,0.000335601,0.000372109,0.000375916,0.000368497,0.000429244,0.000393122,0.000458594,0.00051978,0.000492583,0.000544007,0.000345995,0.000342564,0.000349395,0.000473737,0.000471698,0.000475702,0.000419144,0.000425349,0.000413287,0.000298691,0.000491362,0.000489404,0.000493246,0.000464804,0.000476207,0.00045375,0.000441653,0.000436354,0.000446842,0.000491976,0.000479069,0.000504922,0.000511926,0.000451015,0.000553906
sub-FREAD009,0.000585799,0.000573672,0.00059798,0.00044834,0.000462237,0.000435707,0.000477383,0.000393295,0.000399019,0.000464811,0.000470153,0.000459096,0.000404625,0.000382058,0.000427365,0.000536151,0.000532003,0.000540159,0.000405553,0.000410071,0.000400714,0.00053044,0.000531859,0.000529026,0.000625521,0.000458271,0.000426216,0.000444196,0.000469353,0.000419021,0.00042664,0.00041179,0.000479535,0.000478312,0.000480555,0.000500433,0.00049285,0.000507215,0.000377211,0.000381449,0.000373016,0.000446615,0.000461541,0.000432148,0.000439035,0.000446351,0.000432137,0.000351058,0.00049869,0.000503524,0.000494037,0.000562209,0.000595085,0.00053034,0.000483062,0.000494101,0.000472247,0.000468426,0.000475839,0.000460991,0.000531566,0.000473464,0.00057161
sub-FREAD010,0.000618726,0.000628148,0.000609249,0.000342459,0.000349435,0.000336127,0.000429343,0.000368568,0.000378319,0.000415034,0.000434846,0.000393617,0.000201337,0.000136214,0.00026672,0.000555743,0.000560983,0.000550689,0.000373835,0.000375143,0.000372435,0.000435038,0.000433296,0.000436777,0.000372832,0.00039592,0.000292233,0.000350659,0.000429534,0.000349874,0.000350924,0.000348874,0.00046509,0.000423313,0.000499905,0.000553857,0.000556272,0.000551709,0.000327191,0.000321342,0.000332982,0.000463879,0.000447665,0.00047959,0.000384567,0.000388479,0.000380836,0.00035094,0.000485701,0.000485779,0.000485627,0.000364782,0.000392263,0.000337868,0.000463121,0.000474174,0.000452294,0.000423293,0.000413386,0.000433324,0.000567304,0.000642113,0.000515746
sub-FREHC001,0.00048069,0.000487322,0.000474019,0.000320193,0.000315219,0.000324701,0.000418186,0.000267763,0.000267318,0.000333094,0.000313323,0.000354242,0.000327932,0.000364949,0.000291485,0.000451508,0.000452993,0.000450075,0.00038395,0.000393198,0.000374106,0.000405152,0.000387805,0.000422475,0.000336698,0.000353843,0.000365806,0.000359096,0.000282767,0.000337288,0.000335344,0.000339152,0.000404547,0.00036129,0.000440594,0.000441213,0.000434119,0.000447495,0.000316405,0.000313474,0.000319307,0.000364368,0.000373067,0.000355705,0.000380334,0.000382078,0.000378627,0.000254702,0.000423983,0.000422824,0.000425098,0.000346788,0.000351133,0.000342576,0.000412126,0.00042227,0.000402195,0.000401963,0.000397834,0.000406138,0.000402274,0.000405212,0.00040025
